dataset,model,method,config,target,faithfulness_comprehensiveness_mean,faithfulness_comprehensiveness_std,faithfulness_sufficiency_mean,faithfulness_sufficiency_std,faithfulness_aopc_mean,faithfulness_aopc_std,faithfulness_aupc_mean,faithfulness_aupc_std,faithfulness_aopc_comprehensiveness_mean,faithfulness_aopc_comprehensiveness_std,faithfulness_aopc_sufficiency_mean,faithfulness_aopc_sufficiency_std,attribution_model_forward_calls,attribution_model_forward_calls_per_sample,budget,order,seed,value_function,chunker,eval_granularity,basis,hierarchy,sampler,projector,sample_count,failed_count
emotion,Qwen3-8B,proxyspex,b512-o2-s42-41f8bf56,predicted,0.351520911990223,0.2223641291705027,0.06789917105149139,0.2617867175678149,0.3853155058205911,0.18228432240961703,0.17935829218492239,0.11364827777633461,0.1788322502021163,0.10494391123629085,0.03373024892389421,0.11224538918360144,332262.0,166.131,512,2,42,predicted_probability,word,word,,,,signed_equal_share,2000,0
rotten_tomatoes,Qwen3-8B,proxyspex,b512-o2-s42-4cf0a836,predicted,0.42931530162621256,0.2665563871154186,0.04799868988895745,0.2379017416393822,0.4685220027873728,0.18954682611391094,0.3453697571504956,0.13952433949131424,0.23000878492707216,0.12255257297622406,0.06607757611595155,0.1071821253297431,62416.0,58.551594746716695,512,2,42,predicted_probability,word,word,,,,signed_equal_share,1066,0
sst2,Qwen3-8B,proxyspex,b512-o2-s42-5d19d686,predicted,0.3505189764085168,0.22466096630459395,0.11274937064560325,0.21417436995060277,0.3722322939307293,0.1740381373739588,0.43226691958819174,0.14098020388664506,0.1783380189054306,0.10390068742113669,0.06715721842363999,0.10253488212133466,51434.0,58.98394495412844,512,2,42,predicted_probability,word,word,,,,signed_equal_share,872,0
